Clinic,Provider,Category,Item,Details,Additional Info
"Gaithersburg, MD",Dr. Shelby Gillen,Provider Services,Service Matrix,"{""col_2"": ""8-4: Mon, Wed, Fri 8:30-4:30: Tues, Thurs"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Kayla King (Mgr: Greg)"", ""col_5"": ""Same as Dr. Gillen"", ""col_6"": ""Yes"", ""col_7"": ""Ages 5 and up (schedule under 5 w/ permission)"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes (ages 8 and above)"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""Yes"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""No"", ""col_25"": ""No"", ""col_26"": ""No""}","Hours: 8-4: Mon, Wed, Fri 8:30-4:30: Tues, Thurs, Days: Mon-Fri"
Auditory Services (Hillandale),Dr. Jeff Zolt,Provider Services,Service Matrix,"{""col_2"": ""9:00-4:00"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Andi Zolt"", ""col_5"": ""Greg Maffett: 240.400.1489"", ""col_6"": ""Mon-Thurs 9:00-4:00"", ""col_7"": ""Yes"", ""col_8"": ""Yes, ages 8 and up"", ""col_9"": ""Yes"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""Yes"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""Yes, ages 8 and up"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No""}","Hours: 9:00-4:00, Days: Mon-Fri"
Lansdale,Dr. Holly Forst,Provider Services,Service Matrix,"{""col_2"": ""8:00am - 5:30pm"", ""col_3"": ""off Mondays"", ""col_7"": ""Yes"", ""col_8"": ""Yes, 5+"", ""col_9"": ""Yes"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""Yes"", ""col_17"": ""No"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""Yes""}","Hours: 8:00am - 5:30pm, Days: off Mondays"
Lans,Dr. Madelynn Petrancuri,Provider Services,Service Matrix,"{""col_2"": ""8:00am - 5:30pm"", ""col_3"": ""off Fridays"", ""col_7"": ""Yes"", ""col_8"": ""Yes, 8+"", ""col_9"": ""Yes"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""Yes"", ""col_17"": ""No"", ""col_18"": ""Yes"", ""col_19"": ""Yes"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""Yes"", ""col_23"": ""Yes, Verifit""}","Hours: 8:00am - 5:30pm, Days: off Fridays"
Lans,Dr. Tiffany Connatser,Provider Services,Service Matrix,"{""col_2"": ""8:00am - 6:00pm"", ""col_3"": ""off Wednesdays"", ""col_7"": ""Yes"", ""col_8"": ""Yes 8+"", ""col_9"": ""Yes"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""Yes"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""Yes"", ""col_17"": ""No"", ""col_18"": ""Yes"", ""col_19"": ""Yes"", ""col_20"": ""Yes- Not an Interpreter "", ""col_21"": ""No"", ""col_22"": ""Yes"", ""col_23"": ""Yes, Verifit""}","Hours: 8:00am - 6:00pm, Days: off Wednesdays"
Leisure World,"Dr. Cindy Leeb, AuD Alexis Zayas, Audiology Assistant",Provider Services,Service Matrix,"{""col_2"": ""T/TH 7:00-3:00 F:7:00-12:00 Alexis: 8:30-4:30 Th and Fri "", ""col_3"": ""Th, F Every other Tues"", ""col_4"": ""Summer Graves-Cregger (Mgr: Greg)"", ""col_5"": ""7:00am-3:30pm"", ""col_6"": ""yes"", ""col_7"": ""7+"", ""col_8"": ""No"", ""col_9"": ""yes"", ""col_10"": ""yes"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""No"", ""col_18"": ""Yes"", ""col_19"": ""NO"", ""col_20"": ""No"", ""col_21"": ""Only with pre warning because needs to be moved from another location"", ""col_22"": ""NO"", ""col_23"": ""No"", ""col_24"": ""No"", ""col_25"": ""No"", ""col_26"": ""No""}","Hours: T/TH 7:00-3:00 F:7:00-12:00 Alexis: 8:30-4:30 Th and Fri , Days: Th, F Every other Tues"
"Lutherville-Timonium, MD",Dr. Shannon Wrabel,Provider Services,Service Matrix,"{""col_2"": ""2024-09-04T00:00:00"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Jessica Braun (Mgr: Greg)"", ""col_5"": ""8:00-3:30 M-F"", ""col_6"": ""YES"", ""col_7"": ""Under 6 months; age 4 and up"", ""col_8"": ""Yes"", ""col_9"": ""YES"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""YES"", ""col_14"": ""No"", ""col_15"": ""No (only OAEs up to 12k)"", ""col_16"": ""10 and above"", ""col_17"": ""YES"", ""col_18"": ""No"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""NO""}","Hours: 2024-09-04 00:00:00, Days: Mon-Fri"
Timonium,Dr. Myles Marion,Provider Services,Service Matrix,"{""col_2"": "" 8:30-4"", ""col_3"": ""Tu, Wed, Fri"", ""col_5"": ""8-3:30"", ""col_6"": ""Yes"", ""col_7"": ""age 5 and up"", ""col_8"": ""Yes"", ""col_9"": ""yes"", ""col_10"": ""Yes"", ""col_11"": ""Yes"", ""col_12"": ""NO"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""No (only OAEs up to 12k)"", ""col_16"": ""No"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""yes"", ""col_23"": ""no"", ""col_24"": ""NO""}","Hours: 8:30-4, Days: Tu, Wed, Fri"
Mechanicsville,"Veronica Sutter, Au.D., CCC-A",Provider Services,Service Matrix,"{""col_2"": ""8:30-4:30 (closed 12-1) "", ""col_3"": ""Tu, Wed, Thur (Midlo on some Wednesdays, see CE)"", ""col_4"": ""Saudia Casillas Gonzales"", ""col_6"": ""Yes - currently no 3rd party"", ""col_7"": ""No"", ""col_8"": ""No"", ""col_9"": ""Tymps, Reflexes & OAEs"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes"", ""col_18"": ""No"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No""}","Hours: 8:30-4:30 (closed 12-1) , Days: Tu, Wed, Thur (Midlo on some Wednesdays, see CE)"
"Midlothian, VA","Veronica Sutter, Au.D., CCC-A",Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00"", ""col_3"": ""Tu, Wed, Thurs"", ""col_4"": ""Angela Hassan (Mgr: Greg)"", ""col_5"": ""8:00-4:30"", ""col_6"": ""Yes - currently no 3rd party"", ""col_7"": ""No"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""Yes "", ""col_14"": ""NO"", ""col_15"": ""NO"", ""col_16"": ""No"", ""col_17"": ""Yes "", ""col_18"": ""No "", ""col_19"": ""NO"", ""col_20"": ""No "", ""col_21"": ""NO"", ""col_22"": ""NO"", ""col_23"": ""NO""}","Hours: 8:00-4:00, Days: Tu, Wed, Thurs"
Midlo,Drop Off Item,Provider Services,Service Matrix,"{""col_2"": ""15 Mins. - drop offs for clean/check - check service plan, or if there is POM or office visit charge""}","Hours: 15 Mins. - drop offs for clean/check - check service plan, or if there is POM or office visit charge, Days: nan"
"Pasadena, MD","Abigail (Ritinski) Barclay, Au.D.",Provider Services,Service Matrix,"{""col_2"": ""8:30 - 4:30"", ""col_3"": ""M-F"", ""col_4"": ""Samantha Schultz (Mgr: Greg)"", ""col_5"": ""M-Th 8:00-4:30 F 8:00-2"", ""col_6"": ""Yes"", ""col_7"": ""Yes (all ages)"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_11"": ""Yes ABR"", ""col_12"": ""NO"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""No Diagnostics (positionals & Epley only)"", ""col_20"": ""No"", ""col_21"": ""no"", ""col_22"": ""No"", ""col_23"": ""Minimal"", ""col_24"": ""No""}","Hours: 8:30 - 4:30, Days: M-F"
"Pikesville, MD",Dr. Abigail Katz,Provider Services,Service Matrix,"{""col_2"": ""8:30-4:30 "", ""col_3"": ""T, W, F"", ""col_4"": ""Ikierra Lewis (Mgr: Andrea)"", ""col_5"": ""8:00am-4:00pm"", ""col_6"": ""Yes"", ""col_7"": ""5+"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_10"": ""No"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""NO/ONLY OAES UP TO 12K"", ""col_16"": ""Yes (not infants)"", ""col_17"": ""Yes"", ""col_18"": ""No"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No""}","Hours: 8:30-4:30 , Days: T, W, F"
Potomac,Dr. Cindy Leeb,Provider Services,Service Matrix,"{""col_2"": ""7:00-3:00/3:30 "", ""col_3"": ""Mon & Wed Every other Tues"", ""col_4"": ""Summer Graves-Cregger"", ""col_5"": ""Greg Maffett: 240.400.1489"", ""col_6"": ""Mon & Wed 7:00-3:30"", ""col_7"": ""Yes"", ""col_8"": ""Yes, ages 7 and up"", ""col_9"": ""Yes all"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""Yes"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""Yes, ages 7 and up"", ""col_16"": ""yes"", ""col_17"": ""no"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""no""}","Hours: 7:00-3:00/3:30 , Days: Mon & Wed Every other Tues"
"Rockville, MD",Dr. Glenn Elms,Provider Services,Service Matrix,"{""col_2"": ""7:30-3:30"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Jessica Morales (Mgr: Greg)"", ""col_6"": ""YES"", ""col_7"": ""YES >6 mos old (<5 yrs to be scheduled together with Danielle Schopf)"", ""col_8"": ""No"", ""col_9"": ""YES"", ""col_10"": ""No"", ""col_11"": ""YES"", ""col_12"": ""No"", ""col_13"": ""YES"", ""col_14"": ""No"", ""col_15"": ""NO/ONLY OAES UP TO 12K"", ""col_16"": ""5 and up"", ""col_17"": ""YES"", ""col_18"": ""Yes"", ""col_19"": ""Yes"", ""col_20"": ""Yes"", ""col_21"": ""Yes"", ""col_22"": ""NO"", ""col_23"": ""Minimal"", ""col_24"": ""Yes""}","Hours: 7:30-3:30, Days: Mon-Fri"
"Waldorf, MD",Dr. Madison Knodell,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00"", ""col_3"": ""M-F"", ""col_4"": ""(Mgr: Greg)"", ""col_5"": ""7:30 - 4:00"", ""col_6"": ""Yes"", ""col_7"": ""Yes"", ""col_8"": ""Yes"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""Yes"", ""col_12"": ""Yes"", ""col_13"": ""Yes"", ""col_14"": ""Yes"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""Yes (VNG, Hallpike, positionals and Epley)"", ""col_20"": ""Yes"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""No""}","Hours: 8:00-4:00, Days: M-F"
Warminster,Dr. Holli Lish,Provider Services,Service Matrix,"{""col_2"": ""Mon: 11:00-7:00\nTues-Wed: 8:30-4:00"", ""col_3"": ""Mon-Wed"", ""col_4"": ""Kris Tregnan\n\nRoni Lachow"", ""col_5"": ""Anj Pirner: 267.614.7735"", ""col_6"": ""Mon-Thurs 8-5 and Friday 8:30-3"", ""col_7"": ""Yes"", ""col_8"": ""yes \n>3 years old"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""no"", ""col_13"": ""no"", ""col_14"": ""no"", ""col_15"": ""yes but limited"", ""col_16"": ""yes"", ""col_17"": ""no"", ""col_18"": ""yes"", ""col_19"": ""no"", ""col_21"": ""no"", ""col_22"": ""yes"", ""col_23"": ""yes""}","Hours: Mon: 11:00-7:00 Tues-Wed: 8:30-4:00, Days: Mon-Wed"
Warminster,Dr. Marisa Fassnacht,Provider Services,Service Matrix,"{""col_2"": ""Mon: 9:00-7:00 Tues-Thurs: 8:00-6:00\nFri: 8:30-3:00"", ""col_3"": ""Mon-Fri, off every other Wed and Fri"", ""col_7"": ""Yes"", ""col_8"": ""Yes \n>3 years old"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""no"", ""col_13"": ""no"", ""col_14"": ""no"", ""col_15"": ""yes but limited"", ""col_16"": ""yes"", ""col_17"": ""no"", ""col_18"": ""yes"", ""col_19"": ""no"", ""col_21"": ""No"", ""col_22"": ""yes"", ""col_23"": ""yes""}","Hours: Mon: 9:00-7:00 Tues-Thurs: 8:00-6:00 Fri: 8:30-3:00, Days: Mon-Fri, off every other Wed and Fri"
Warm,Dr. Maryann Nikander,Provider Services,Service Matrix,"{""col_2"": ""8:30-5:00"", ""col_3"": ""Tues & Wed"", ""col_7"": ""Yes"", ""col_8"": ""Yes \n>3 years old"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""minimal"", ""col_13"": ""no"", ""col_14"": ""no"", ""col_15"": ""yes, but rare"", ""col_16"": ""no"", ""col_17"": ""no"", ""col_18"": ""yes"", ""col_19"": ""no"", ""col_21"": ""basic, non-fluent"", ""col_22"": ""yes"", ""col_23"": ""yes""}","Hours: 8:30-5:00, Days: Tues & Wed"
Warm,Dr. Arantxa Rosario,Provider Services,Service Matrix,"{""col_2"": ""Mon: 8:30-6:30 Wed-Thurs: 8:00-6:00 Fri: 8:00-3:00"", ""col_3"": ""Mon & Wed-Fri"", ""col_7"": ""Yes"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""Minimal"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""Limited"", ""col_17"": ""No"", ""col_18"": ""Yes"", ""col_19"": ""Yes (Cochlear)"", ""col_20"": ""No"", ""col_21"": ""Yes"", ""col_22"": ""Yes"", ""col_23"": ""Yes""}","Hours: Mon: 8:30-6:30 Wed-Thurs: 8:00-6:00 Fri: 8:00-3:00, Days: Mon & Wed-Fri"
"White Plains, MD",Dr. Casey Gaskins,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00"", ""col_3"": ""M-F"", ""col_4"": ""Ceirra Harris (Mgr: Greg)"", ""col_5"": ""7:30 - 4:00"", ""col_6"": ""Yes"", ""col_7"": ""Yes"", ""col_8"": ""Yes"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""Yes"", ""col_12"": ""Yes"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""Yes (VNG, Hallpike, positionals and Epley)"", ""col_20"": ""Yes"", ""col_21"": ""Yes"", ""col_22"": ""Yes (Cochlear and Advanced Bionics)"", ""col_23"": ""No"", ""col_24"": ""No"", ""col_25"": ""Yes""}","Hours: 8:00-4:00, Days: M-F"
Wyomissing,Dr. Mindy Brudereck,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:30"", ""col_3"": ""Mon & Wed"", ""col_4"": ""Eveline Mahoney"", ""col_5"": ""Anj Pirner: 267.614.7735"", ""col_6"": ""Mon-Fri\n8:00-4:30"", ""col_7"": ""Yes"", ""col_8"": ""Yes all ages"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""ABR screening only"", ""col_12"": ""yes"", ""col_13"": ""no"", ""col_14"": ""yes"", ""col_15"": ""Yes but rare"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""no"", ""col_19"": ""yes"", ""col_20"": ""no"", ""col_21"": ""basic, non-fluent"", ""col_22"": ""yes""}","Hours: 8:00-4:30, Days: Mon & Wed"
Wyomissing,Dr. Scott MacDonald,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:30"", ""col_3"": ""Tues, Thurs, Fri"", ""col_7"": ""Yes"", ""col_8"": ""yes all ages "", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""ABR screening only"", ""col_12"": ""yes"", ""col_13"": ""no"", ""col_14"": ""yes"", ""col_15"": ""no"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""no"", ""col_19"": ""yes"", ""col_20"": ""no"", ""col_21"": ""no"", ""col_22"": ""yes""}","Hours: 8:00-4:30, Days: Tues, Thurs, Fri"
"Powhatan, VA",CLOSED,Previous Office Info,Closure Details,"{""col_6"": ""yes"", ""col_7"": ""no"", ""col_12"": ""No""}",This office is closed.
"West Point, VA",CLOSED,Previous Office Info,Closure Details,"{""col_2"": ""NO PCC"", ""col_3"": ""Th"", ""col_4"": ""NO PCC"", ""col_5"": ""10-6 Th Only"", ""col_6"": ""Yes"", ""col_7"": ""no"", ""col_12"": ""No""}",This office is closed.
"Richmond, VA",CLOSED 6/30/2023,Previous Office Info,Closure Details,"{""col_2"": ""8-430"", ""col_3"": ""M, W"", ""col_4"": ""Asia Winningham (Mgr: Greg)"", ""col_5"": ""8-430"", ""col_6"": ""Yes"", ""col_7"": ""Yes- ages 5 &Up "", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_11"": ""TBD"", ""col_12"": ""TBD"", ""col_13"": ""Yes"", ""col_14"": ""Yes"", ""col_15"": ""No"", ""col_16"": ""Yes "", ""col_17"": ""Yes "", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No "", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""CLOSED""}",This office is closed.
,,Previous Office Info,Closure Details,{},This office is closed.
"Washington, DC (CLOSED 3/31/2023)",Dr. Adam Alamillo,Previous Office Info,Closure Details,"{""col_2"": ""Location closed 3/31/23"", ""col_3"": ""Location closed 3/31/23"", ""col_4"": ""Location closed 3/31/23"", ""col_5"": ""Location closed 3/31/23"", ""col_6"": ""YES"", ""col_7"": ""YES (6 years and up)"", ""col_8"": ""No"", ""col_9"": ""YES"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""YES"", ""col_14"": ""NO"", ""col_15"": ""NO"", ""col_16"": ""No"", ""col_17"": ""YES"", ""col_18"": ""NO"", ""col_19"": ""No"", ""col_20"": ""NO"", ""col_21"": ""NO"", ""col_22"": ""NO"", ""col_23"": ""Some"", ""col_24"": ""Some""}",This office is closed.
Clinic,Provider(s),Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""PCC"", ""col_3"": ""Monday"", ""col_4"": ""Tuesday"", ""col_5"": ""Wednesday"", ""col_6"": ""Thursday"", ""col_7"": ""Friday""}",
"Montgomery Village, MD","Andrea Liacouras, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Asmeret Aria"", ""col_3"": ""9am-5pm"", ""col_4"": ""9am-5pm"", ""col_5"": ""9am-5pm"", ""col_6"": ""9am-5pm"", ""col_7"": ""closed""}",
"Chevy Chase, MD","Emily Martinson, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Krystal Clark"", ""col_3"": ""8am-4pm"", ""col_4"": ""9am-5pm"", ""col_5"": ""8am-4pm"", ""col_6"": ""9am-5pm"", ""col_7"": ""8am-4pm""}",
"Lutherville-Timonium, MD","Shannon Wrabel, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Jessica Braun"", ""col_3"": ""8am-4pm"", ""col_4"": ""8am-4pm"", ""col_5"": ""8am-4pm"", ""col_6"": ""8am-4pm"", ""col_7"": ""8am-4pm""}",
,"Maria Makhina, Au.D. Intern",Scheduling/Service Summary,Schedule on google & website,{},
"Elkridge, MD","Cindy Leeb, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Krystal & lauren"", ""col_3"": ""9am-4:30pm"", ""col_4"": ""8am-4:30pm"", ""col_5"": ""8am-4:30pm"", ""col_6"": ""8am-4:30pm"", ""col_7"": ""closed""}",
,"Karlee Ertter, Au.D.",Scheduling/Service Summary,Schedule on google & website,{},
"Annapolis, MD","Stacey S. Cole, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Teresa"", ""col_3"": ""closed"", ""col_4"": ""10am-6pm"", ""col_5"": ""9am-5pm"", ""col_6"": ""9am-5pm"", ""col_7"": ""8am-4pm""}",
"Rockville, MD","Cindy Leeb, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Chrissy Mayers"", ""col_3"": ""7am-3:45pm"", ""col_4"": ""7am-4pm"", ""col_5"": ""8:30am-5pm"", ""col_6"": ""8:30am-3:45pm"", ""col_7"": ""7:30-3pm""}",
,"Bria Collins, Au.D.",Scheduling/Service Summary,Schedule on google & website,{},
"Frederick, MD","Jenifer Cushing, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Sarah Boersig"", ""col_3"": ""8:30am-4:30pm"", ""col_4"": ""8:30am-4:30pm"", ""col_5"": ""8:30am-4:30pm"", ""col_6"": ""8:30am-4:30pm"", ""col_7"": ""9:30am-4:30pm""}",
,"Brandon Adawi, HAD",Scheduling/Service Summary,Schedule on google & website,{},
,"Maria Makhina, Au.D. Intern",Scheduling/Service Summary,Schedule on google & website,{},
Germantown,"Bria Collins, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Asmeret"", ""col_3"": ""closed"", ""col_4"": ""8:30am-4:30pm"", ""col_5"": ""closed"", ""col_6"": ""closed"", ""col_7"": ""8:30am-4:30pm""}",
"Hagerstown, MD","Brandon Adawi, HAD",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""NO PCC"", ""col_3"": ""closed"", ""col_4"": ""closed"", ""col_5"": ""closed"", ""col_6"": ""closed"", ""col_7"": ""8:30am-4:30pm""}",
"Pasadena, MD","Becky Book, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Teresa"", ""col_3"": ""9am-5pm"", ""col_4"": ""9am-5pm"", ""col_5"": ""9am-5pm"", ""col_6"": ""9am-5pm"", ""col_7"": ""8am-2pm""}",
,"Karlee Ertter, Au.D.",Scheduling/Service Summary,Schedule on google & website,{},
"Pikesville, MD","Meredith Nowak, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Amber"", ""col_3"": ""7:30am-4pm"", ""col_4"": ""7:30am-4pm"", ""col_5"": ""7:30am-4pm"", ""col_6"": ""7:30am-5pm"", ""col_7"": ""closed""}",
"Waldorf, MD","Monica Allguer, Au.D",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Brittney"", ""col_3"": ""8am to 6pm"", ""col_4"": ""8am to 6pm"", ""col_5"": ""8am to 6pm"", ""col_6"": ""8am to 6pm"", ""col_7"": ""8am to 6pm""}",
,"Stacey Cole, Au.D.",Scheduling/Service Summary,Schedule on google & website,{},
"Baltimore Highlands, MD","Karlee Ertter, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Krystal, Lauren"", ""col_3"": ""8am-5pm"", ""col_4"": ""closed"", ""col_5"": ""8am-4pm"", ""col_6"": ""closed"", ""col_7"": ""closed""}",
"Ashburn, VA","Kristen Hood, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Michelle"", ""col_3"": ""closed"", ""col_4"": ""8am-5:30pm"", ""col_5"": ""closed"", ""col_6"": ""8am-5:30pm"", ""col_7"": ""7:30am-4pm""}",
"Leesburg, VA","Kristen Hood, Au.D.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Michelle"", ""col_3"": ""8am-5:00pm"", ""col_4"": ""closed"", ""col_5"": ""7:30am-4pm"", ""col_6"": ""closed"", ""col_7"": ""closed""}",
"West End, VA","Bethany Rose, Au.D, CCC-A",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""JoJo"", ""col_3"": ""8:30-4:30pm"", ""col_4"": ""8:30-4:30pm"", ""col_5"": ""8:30-4:30pm"", ""col_6"": ""8:30-4:30pm"", ""col_7"": ""8:30-4:30pm""}",
"Midlothian, VA","Sheri Stoots, MSHA, M.Ed, CC-A, Audiologist, Bethany Rose, Au.D, CCC-A",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Alison"", ""col_3"": ""9am-5pm Sheri"", ""col_4"": ""9am-5pm Sheri"", ""col_5"": ""9am-5pm Sheri"", ""col_6"": ""9am-5pm Bethany "", ""col_7"": ""9am-5pm Sheri""}",
"Chester, VA","Katie McKenzie, HIS",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Kim"", ""col_3"": ""closed"", ""col_4"": ""9am-5pm"", ""col_5"": ""closed"", ""col_6"": ""closed"", ""col_7"": ""closed""}",
"Fredericksburg, VA","Scott Elbert, M.Aud.",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Tammy"", ""col_3"": ""9am-5pm"", ""col_4"": ""9am-5pm"", ""col_5"": ""9am-5pm"", ""col_6"": ""9am-5pm"", ""col_7"": ""9am-5pm""}",
"Powhatan, VA","Jim Harris, HIS",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""NO PCC"", ""col_3"": ""closed"", ""col_4"": ""9am-4pm"", ""col_5"": ""closed"", ""col_6"": ""closed"", ""col_7"": ""closed""}",
"West Point, VA","Katie McKenzie, HIS",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""NO PCC"", ""col_3"": ""closed"", ""col_4"": ""closed"", ""col_5"": ""closed"", ""col_6"": ""2019-10-06T00:00:00"", ""col_7"": ""closed""}",
Mechanicsville,"Sheri Stoots, MSHA, M.Ed, CC-A, Audiologist",Scheduling/Service Summary,Schedule on google & website,"{""col_2"": ""Kim"", ""col_3"": ""9am-5pm Katie"", ""col_4"": ""9am-5pm"", ""col_5"": ""9am-5pm Katie"", ""col_6"": ""9am-5pm Sheri"", ""col_7"": ""9am-5pm Katie""}",
,"Katie McKenzie, HIS",Scheduling/Service Summary,Schedule on google & website,{},
